Title,Year,Type,CoverArt
Somewhere Back in Time: The Best of 1980–1989,2008,Compilation,
Behind the Iron Curtain,1984,EP,
Edward the Great,2002,Compilation,
Live After Death,1985,Live,
Live After Death – Volume Two,1985,Live,
Greatest Hits,2008,Compilation,
From There to Eternity,1992,Compilation,
Picture Disc Collection 1980–1988,2012,Compilation,
Live at Donington: August 22nd 1992,1993,Live,
Fear of the Dark,1992,Album,
Video Pieces,1983,EP,
Piece of Mind,1983,Album,
Eddie's Archive,2002,EP,
The Soundhouse Tapes,1979,EP,
No Prayer for the Dying,1990,Album,
Seventh Son of a Seventh Son,1988,Album,
The Final Frontier,2010,Album,
The Book of Souls,2015,Album,
Flight 666,2009,EP,
Somewhere Back in Time,2008,EP,
"The Story So Far, Part I",1995,Compilation,
Best of the Beast,1996,Compilation,
BBC Archives,2002,Live,
Maiden England ’88,2013,EP,
Visions of the Beast,2003,Compilation,
Metal Hammer The Video Magazine Special Iron Maiden,1992,Compilation,
The Number of the Beast / Beast Over Hammersmith,2022,Compilation,
Beast Over Hammersmith,2002,Live,
The Complete Albums Collection 1980–1988,2014,Compilation,
A Real Live Dead One,1993,Live,
Ed Hunter,1999,EP,
Dance of Death,2003,Album,
An Interview With Iron Maiden,1988,EP,
The X Factor,1995,Album,
Making of the Virtual XI,1998,Compilation,
Lo mejor de Iron Maiden,1983,EP,
"The History of Iron Maiden, Part 1: The Early Days",2001,Live,
Ed Hunter,1999,Compilation,
The Number of the Beast,1982,Album,
"The Story So Far, Part II",1995,Compilation,
Maiden England,1989,Live,
Senjutsu,2021,Album,
A Real Dead One,1993,Live,
Iron Maiden,1980,Album,
Powerslave,1984,Album,
A Real Live One,1993,Live,
No More Lies: Dance of Death Souvenir EP,2004,EP,
The Complete Album Collection,2008,Compilation,
"Nights of the Dead, Legacy of the Beast: Live in Mexico City",2020,Live,
A Real Dead One,1993,EP,
Maiden Mania 80–87,1987,Compilation,
Carmageddon 2: Carpocalypse Now,1999,Compilation,
Audio Pieces,1986,EP,
Blaze Bayley Interview,1995,EP,
Brave New World,2000,Album,
The First Ten Years,1990,Compilation,
Raising Hell,2001,Live,
Christmas EP,1984,EP,
Live!! + One,1980,Live,
Flight 666: The Original Soundtrack,2009,Live,
En Vivo!,2012,Live,
The Book of Souls: Live Chapter,2017,Live,
Live at The Rainbow,1981,Live,
Classic Albums: Iron Maiden / Def Leppard,2008,Compilation,
No me puedes dejar así / Decídete,1983,EP,
Somewhere in Time,1986,Album,
A Matter of Life and Death Interview CD,2006,EP,
The First Ten Years – The Videos,1990,Compilation,
Dance of Death,2003,EP,
Rock in Rio,2002,EP,
Live After Death – Volume One,1985,Live,
En Vivo!,2012,EP,
Eddie’s Head,1998,Compilation,
Death on the Road,2005,Live,
Rock in Rio / The Number of the Beast,2008,Compilation,
Virtual XI,1998,Album,
The Essential Iron Maiden,2005,Compilation,
Flight 666 (The Film),2009,Live,
12 Wasted Years,1987,Compilation,
Killers,1981,Album,
